date,category,amount,description,payment_method,note,date_obj,month,day,weekday
2024-01-01,Food & Dining,752,Restaurant,Card,,2024-01-01,2024-01,1,Monday
2024-01-02,Education,2160,Course - Purchase,UPI,,2024-01-02,2024-01,2,Tuesday
2024-01-02,Transport,204,Auto - Expense,Cash,Monthly expense,2024-01-02,2024-01,2,Tuesday
2024-01-03,Entertainment,503,Game,UPI,,2024-01-03,2024-01,3,Wednesday
2024-01-03,Groceries,308,Weekly shopping,UPI,,2024-01-03,2024-01,3,Wednesday
2024-01-03,Groceries,326,Weekly shopping,Cash,,2024-01-03,2024-01,3,Wednesday
2024-01-04,Shopping,8797,Electronics,Cash,,2024-01-04,2024-01,4,Thursday
2024-01-04,Other,767,Service,Card,,2024-01-04,2024-01,4,Thursday
2024-01-04,Food & Dining,452,Cafe - Purchase,Cash,,2024-01-04,2024-01,4,Thursday
2024-01-05,Groceries,339,Supermarket,Cash,,2024-01-05,2024-01,5,Friday
2024-01-05,Healthcare,847,Doctor,Card,,2024-01-05,2024-01,5,Friday
2024-01-06,Entertainment,1548,Movie,Card,,2024-01-06,2024-01,6,Saturday
2024-01-06,Groceries,4083,Groceries,UPI,,2024-01-06,2024-01,6,Saturday
2024-01-07,Other,1103,Service - Bill,Card,,2024-01-07,2024-01,7,Sunday
2024-01-07,Shopping,12279,Electronics,Cash,,2024-01-07,2024-01,7,Sunday
2024-01-07,Transport,320,Taxi,Card,,2024-01-07,2024-01,7,Sunday
2024-01-07,Shopping,3751,Shoes,Cash,Monthly expense,2024-01-07,2024-01,7,Sunday
2024-01-07,Food & Dining,215,Lunch,Cash,Weekly expense,2024-01-07,2024-01,7,Sunday
2024-01-08,Transport,51,Bus - Payment,Card,,2024-01-08,2024-01,8,Monday
2024-01-08,Shopping,9764,Accessories,Card,Planned expense,2024-01-08,2024-01,8,Monday
2024-01-10,Bills & Utilities,3709,Internet - Purchase,Cash,,2024-01-10,2024-01,10,Wednesday
2024-01-10,Shopping,1292,Electronics - Purchase,Card,,2024-01-10,2024-01,10,Wednesday
2024-01-10,Groceries,260,Groceries,Cash,,2024-01-10,2024-01,10,Wednesday
2024-01-10,Bills & Utilities,2658,Electricity - Payment,UPI,,2024-01-10,2024-01,10,Wednesday
2024-01-11,Transport,313,Taxi,Cash,,2024-01-11,2024-01,11,Thursday
2024-01-12,Food & Dining,345,Dinner - Expense,Card,Weekly expense,2024-01-12,2024-01,12,Friday
2024-01-13,Food & Dining,903,Restaurant,Cash,,2024-01-13,2024-01,13,Saturday
2024-01-13,Shopping,12084,Electronics,Card,,2024-01-13,2024-01,13,Saturday
2024-01-14,Groceries,4281,Groceries - Purchase,Card,,2024-01-14,2024-01,14,Sunday
2024-01-15,Food & Dining,526,Lunch,Card,,2024-01-15,2024-01,15,Monday
2024-01-15,Food & Dining,502,Cafe,Cash,,2024-01-15,2024-01,15,Monday
2024-01-16,Food & Dining,560,Dinner,Net Banking,,2024-01-16,2024-01,16,Tuesday
2024-01-16,Shopping,2139,Flipkart,Cash,Planned expense,2024-01-16,2024-01,16,Tuesday
2024-01-16,Groceries,880,Supermarket - Payment,Card,,2024-01-16,2024-01,16,Tuesday
2024-01-17,Shopping,2177,Amazon,Cash,,2024-01-17,2024-01,17,Wednesday
2024-01-17,Other,359,Service - Purchase,UPI,,2024-01-17,2024-01,17,Wednesday
2024-01-17,Food & Dining,554,Takeout,Cash,,2024-01-17,2024-01,17,Wednesday
2024-01-17,Bills & Utilities,4288,Internet,Card,,2024-01-17,2024-01,17,Wednesday
2024-01-17,Shopping,9739,Electronics - Expense,Card,,2024-01-17,2024-01,17,Wednesday
2024-01-17,Food & Dining,232,Restaurant,Card,,2024-01-17,2024-01,17,Wednesday
2024-01-18,Food & Dining,306,Lunch - Bill,UPI,,2024-01-18,2024-01,18,Thursday
2024-01-19,Healthcare,1223,Gym,Cash,,2024-01-19,2024-01,19,Friday
2024-01-20,Transport,516,Metro,Card,,2024-01-20,2024-01,20,Saturday
2024-01-20,Groceries,1852,Weekly shopping,Card,,2024-01-20,2024-01,20,Saturday
2024-01-20,Bills & Utilities,7094,Water - Payment,Cash,,2024-01-20,2024-01,20,Saturday
2024-01-20,Education,5201,Course,UPI,Weekly expense,2024-01-20,2024-01,20,Saturday
2024-01-21,Shopping,10787,Amazon,UPI,,2024-01-21,2024-01,21,Sunday
2024-01-21,Entertainment,2452,OTT Subscription - Bill,Card,,2024-01-21,2024-01,21,Sunday
2024-01-22,Healthcare,193,Pharmacy - Bill,Net Banking,,2024-01-22,2024-01,22,Monday
2024-01-22,Food & Dining,77,Snacks,UPI,Monthly expense,2024-01-22,2024-01,22,Monday
2024-01-22,Food & Dining,706,Snacks - Bill,UPI,,2024-01-22,2024-01,22,Monday
2024-01-22,Healthcare,691,Health Checkup,Cash,,2024-01-22,2024-01,22,Monday
2024-01-24,Bills & Utilities,4948,Water - Bill,UPI,Planned expense,2024-01-24,2024-01,24,Wednesday
2024-01-24,Food & Dining,192,Coffee - Purchase,Card,,2024-01-24,2024-01,24,Wednesday
2024-01-25,Food & Dining,452,Restaurant - Purchase,Card,,2024-01-25,2024-01,25,Thursday
2024-01-25,Transport,149,Fuel,UPI,,2024-01-25,2024-01,25,Thursday
2024-01-25,Food & Dining,437,Snacks,UPI,,2024-01-25,2024-01,25,Thursday
2024-01-26,Shopping,9488,Clothes,Card,,2024-01-26,2024-01,26,Friday
2024-01-27,Bills & Utilities,6936,Water,Cash,,2024-01-27,2024-01,27,Saturday
2024-01-27,Transport,58,Ola,Card,,2024-01-27,2024-01,27,Saturday
2024-01-28,Groceries,402,Groceries,Cash,,2024-01-28,2024-01,28,Sunday
2024-01-28,Groceries,602,Fruits,Cash,,2024-01-28,2024-01,28,Sunday
2024-01-29,Shopping,6921,Accessories,Card,,2024-01-29,2024-01,29,Monday
2024-01-29,Transport,136,Fuel,Card,,2024-01-29,2024-01,29,Monday
2024-01-29,Food & Dining,611,Cafe,Cash,Weekly expense,2024-01-29,2024-01,29,Monday
2024-01-30,Shopping,4873,Shoes,Card,,2024-01-30,2024-01,30,Tuesday
2024-01-30,Food & Dining,292,Cafe,UPI,,2024-01-30,2024-01,30,Tuesday
2024-01-31,Transport,313,Taxi - Payment,Card,Monthly expense,2024-01-31,2024-01,31,Wednesday
2024-01-31,Bills & Utilities,2633,Electricity,UPI,Monthly expense,2024-01-31,2024-01,31,Wednesday
2024-02-02,Groceries,2082,Groceries - Bill,UPI,,2024-02-02,2024-02,2,Friday
2024-02-05,Bills & Utilities,4606,Electricity,UPI,,2024-02-05,2024-02,5,Monday
2024-02-07,Food & Dining,89,Snacks,Card,Monthly expense,2024-02-07,2024-02,7,Wednesday
2024-02-08,Transport,65,Bus,UPI,Planned expense,2024-02-08,2024-02,8,Thursday
2024-02-09,Bills & Utilities,837,Internet,Cash,,2024-02-09,2024-02,9,Friday
2024-02-10,Bills & Utilities,2059,Gas Bill,Card,Weekly expense,2024-02-10,2024-02,10,Saturday
2024-02-10,Food & Dining,825,Snacks - Expense,Card,,2024-02-10,2024-02,10,Saturday
2024-02-12,Shopping,8800,Accessories - Payment,UPI,,2024-02-12,2024-02,12,Monday
2024-02-12,Food & Dining,84,Restaurant,UPI,,2024-02-12,2024-02,12,Monday
2024-02-12,Groceries,1582,Weekly shopping,Card,Planned expense,2024-02-12,2024-02,12,Monday
2024-02-12,Transport,188,Auto,Net Banking,,2024-02-12,2024-02,12,Monday
2024-02-13,Entertainment,1278,Movie - Expense,Cash,Urgent purchase,2024-02-13,2024-02,13,Tuesday
2024-02-13,Other,226,Donation,Card,,2024-02-13,2024-02,13,Tuesday
2024-02-13,Food & Dining,64,Cafe - Bill,UPI,,2024-02-13,2024-02,13,Tuesday
2024-02-13,Bills & Utilities,2110,Internet,Card,,2024-02-13,2024-02,13,Tuesday
2024-02-13,Food & Dining,88,Dinner - Purchase,UPI,,2024-02-13,2024-02,13,Tuesday
2024-02-14,Transport,424,Auto - Expense,UPI,,2024-02-14,2024-02,14,Wednesday
2024-02-14,Transport,464,Ola,Card,,2024-02-14,2024-02,14,Wednesday
2024-02-14,Groceries,2857,Supermarket - Expense,UPI,,2024-02-14,2024-02,14,Wednesday
2024-02-14,Entertainment,627,Movie - Expense,Card,,2024-02-14,2024-02,14,Wednesday
2024-02-14,Healthcare,1769,Medicine,Card,Monthly expense,2024-02-14,2024-02,14,Wednesday
